,Element ID,Centroid Z,Normal Factor
353,7470,6662.166666666493,1
354,7471,5708.499999999776,1
355,7472,4754.83333333306,1
356,7473,3743.2499999997394,1
357,7474,2673.7499999998136,1
358,7475,1604.2499999998877,1
359,7476,534.7499999999626,1
360,7477,9523.16666666664,1
361,7478,8569.499999999925,1
362,7479,7615.833333333209,1
363,7480,6662.166666666493,1
364,7481,5708.499999999777,1
365,7482,4754.833333333063,1
366,7483,3743.249999999742,1
367,7484,2673.7499999998145,1
368,7485,1604.2499999998875,1
369,7486,534.7499999999625,1
370,7487,9523.16666666664,1
371,7488,8569.499999999927,1
372,7489,7615.833333333211,1
373,7490,6662.166666666494,1
374,7491,5708.499999999779,1
375,7492,4754.833333333066,1
376,7493,3743.249999999744,1
377,7494,2673.7499999998163,1
378,7495,1604.2499999998884,1
379,7496,534.7499999999624,1
380,7497,9523.166666666644,1
381,7498,8569.499999999929,1
382,7499,7615.833333333214,1
383,7500,6662.166666666497,1
384,7501,5708.499999999781,1
385,7502,4754.8333333330675,1
386,7503,3743.2499999997453,1
387,7504,2673.7499999998176,1
388,7505,1604.2499999998893,1
389,7506,534.7499999999629,1
390,7507,9523.166666666642,1
391,7508,8569.499999999929,1
392,7509,7615.833333333215,1
393,7510,6662.166666666498,1
394,7511,5708.4999999997835,1
395,7512,4754.83333333307,1
396,7513,3743.2499999997485,1
397,7514,2673.7499999998186,1
398,7515,1604.249999999891,1
399,7516,534.7499999999635,1
400,7517,20000.0,1
401,7518,20000.0,1
402,7519,20000.0,1
403,7520,20000.0,1
404,7521,20000.0,1
405,7522,20000.0,1
406,7523,20000.0,1
407,7524,20000.0,1
408,7525,20000.0,1
409,7526,20000.000000000004,1
410,7527,20000.0,1
411,7528,20000.0,1
412,7529,20000.0,1
413,7530,20000.0,1
414,7531,20000.0,1
415,7532,20000.0,1
416,7533,20000.0,1
417,7534,20000.0,1
418,7535,20000.0,1
419,7536,20000.0,1
420,7537,20000.0,1
421,7538,20000.0,1
422,7539,20000.0,1
423,7540,19999.999999999996,1
424,7541,20000.0,1
